		Uncategorised	Meaty	 Nutty	Medicinal	Chocolate	Wood	Spice	Herbaceous	 Berry	Dairy	Green	Roasted	Petrol	Floral	Caramel	Sulphur	 Tree fruit	Tropical	Marine	Earthy	Fruit like	Melon	Sour	 Citrus	Phenol	Pungent	Toasted	Smoke	Savory
52	Crispbread	0.06	0.0	0.08	0.0	0.07	0.1	0.2	0.03	0.01	0.06	0.08	0.03	0.0	0.05	0.06	0.09	0.01	0.05	0.0	0.07	0.33	0.0	0.07	0.0	0.03	0.02	0.36	0.06	0.0
53	Malt	0.32	0.37	0.42	0.13	0.59	0.12	0.2	0.15	0.18	0.29	0.32	0.32	0.4	0.19	0.24	0.21	0.08	0.15	0.33	0.43	0.33	0.12	0.43	0.08	0.26	0.4	0.36	0.33	0.0
54	Oats	0.47	0.18	0.63	0.3	0.41	0.3	0.31	0.3	0.22	0.23	0.41	0.22	0.4	0.35	0.39	0.17	0.15	0.15	0.61	0.57	0.25	0.24	0.43	0.33	0.18	0.49	0.0	0.17	0.0
55	Rice	0.58	0.29	0.67	0.33	0.52	0.26	0.24	0.28	0.26	0.55	0.46	0.18	0.6	0.47	0.48	0.16	0.2	0.23	0.72	0.49	0.17	0.24	0.71	0.4	0.35	0.51	0.36	0.11	0.0
56	Corn	0.5	0.24	0.56	0.39	0.44	0.38	0.53	0.31	0.2	0.32	0.44	0.19	0.2	0.5	0.45	0.11	0.15	0.12	0.56	0.44	0.17	0.18	0.36	0.48	0.41	0.51	0.18	0.17	0.0
57	Corn Oil	0.16	0.0	0.1	0.1	0.04	0.07	0.02	0.1	0.11	0.19	0.18	0.04	0.0	0.11	0.12	0.11	0.1	0.15	0.11	0.1	0.17	0.0	0.21	0.16	0.06	0.07	0.0	0.17	0.0
58	Popcorn	0.09	0.16	0.37	0.09	0.26	0.04	0.04	0.0	0.04	0.06	0.07	0.3	0.0	0.02	0.08	0.03	0.01	0.0	0.17	0.17	0.33	0.0	0.07	0.02	0.03	0.11	0.18	0.22	0.0
59	Sweetcorn	0.11	0.08	0.17	0.04	0.11	0.03	0.02	0.08	0.04	0.13	0.08	0.08	0.4	0.02	0.04	0.12	0.0	0.01	0.22	0.29	0.33	0.0	0.0	0.04	0.06	0.09	0.18	0.0	0.0
60	Butter	0.44	0.11	0.21	0.21	0.26	0.1	0.14	0.33	0.33	1.0	0.41	0.03	0.6	0.31	0.34	0.09	0.26	0.36	0.28	0.3	0.42	0.35	0.43	0.35	0.21	0.38	0.0	0.11	0.0
61	Buttermilk	0.04	0.0	0.21	0.21	0.26	0.0	0.14	0.33	0.01	0.06	0.02	0.03	0.0	0.31	0.01	0.04	0.26	0.0	0.06	0.04	0.08	0.35	0.21	0.35	0.21	0.0	0.0	0.11	0.0
62	Cheese	0.35	0.18	0.27	0.07	0.26	0.1	0.04	0.2	0.29	0.39	0.33	0.11	0.6	0.24	0.24	0.25	0.2	0.38	0.5	0.33	0.33	0.18	0.64	0.24	0.12	0.29	0.0	0.11	0.0
63	Blue Cheese	0.45	0.18	0.33	0.09	0.33	0.13	0.08	0.25	0.45	0.65	0.36	0.14	0.6	0.3	0.37	0.25	0.34	0.6	0.56	0.4	0.33	0.18	0.79	0.26	0.12	0.36	0.0	0.0	0.0
64	Camembert Cheese	0.41	0.21	0.29	0.07	0.33	0.11	0.06	0.23	0.35	0.52	0.33	0.14	0.8	0.26	0.3	0.29	0.25	0.46	0.61	0.37	0.42	0.18	0.64	0.24	0.15	0.33	0.0	0.0	0.0
65	Cheddar Cheese	0.45	0.21	0.27	0.14	0.3	0.16	0.08	0.26	0.4	0.77	0.36	0.12	0.6	0.27	0.34	0.29	0.28	0.48	0.56	0.43	0.33	0.18	0.79	0.24	0.18	0.33	0.0	0.0	0.0
66	Comte Cheese	0.37	0.18	0.31	0.09	0.3	0.1	0.1	0.2	0.35	0.39	0.36	0.11	0.6	0.27	0.31	0.25	0.24	0.46	0.5	0.36	0.33	0.24	0.57	0.24	0.15	0.31	0.0	0.0	0.0
67	Cottage Cheese	0.35	0.18	0.27	0.07	0.26	0.1	0.04	0.2	0.29	0.39	0.32	0.11	0.6	0.24	0.24	0.25	0.2	0.38	0.5	0.33	0.33	0.18	0.64	0.24	0.12	0.29	0.0	0.0	0.0
68	Cream Cheese	0.35	0.18	0.27	0.07	0.26	0.1	0.04	0.2	0.29	0.39	0.32	0.11	0.6	0.24	0.24	0.25	0.2	0.38	0.5	0.33	0.33	0.18	0.57	0.24	0.12	0.29	0.0	0.0	0.0
69	Domiati Cheese	0.34	0.18	0.27	0.07	0.26	0.1	0.04	0.2	0.3	0.39	0.33	0.11	0.6	0.24	0.24	0.25	0.22	0.38	0.5	0.33	0.33	0.18	0.57	0.24	0.12	0.29	0.0	0.0	0.0
70	Emmental Cheese	0.35	0.18	0.27	0.07	0.33	0.1	0.04	0.2	0.29	0.39	0.32	0.14	0.6	0.24	0.24	0.25	0.2	0.38	0.5	0.33	0.33	0.18	0.57	0.24	0.12	0.29	0.0	0.0	0.0
71	Feta Cheese	0.35	0.18	0.27	0.07	0.26	0.1	0.04	0.2	0.31	0.42	0.33	0.11	0.6	0.24	0.24	0.25	0.22	0.38	0.5	0.33	0.33	0.18	0.57	0.24	0.12	0.29	0.0	0.0	0.0
72	Goat Cheese	0.35	0.21	0.27	0.07	0.26	0.1	0.04	0.2	0.31	0.42	0.33	0.11	0.6	0.24	0.25	0.25	0.2	0.38	0.5	0.33	0.33	0.18	0.64	0.24	0.12	0.29	0.0	0.0	0.0
73	Gruyere Cheese	0.44	0.24	0.35	0.2	0.41	0.15	0.1	0.28	0.42	0.48	0.41	0.16	0.6	0.28	0.34	0.3	0.31	0.51	0.5	0.43	0.42	0.24	0.64	0.28	0.24	0.33	0.0	0.0	0.0
74	Limburger Cheese	0.35	0.21	0.27	0.07	0.26	0.1	0.04	0.21	0.29	0.48	0.32	0.11	0.6	0.24	0.24	0.26	0.2	0.39	0.5	0.36	0.33	0.18	0.57	0.24	0.12	0.29	0.0	0.0	0.0
75	Mozzarella Cheese	0.36	0.24	0.27	0.07	0.26	0.1	0.04	0.25	0.3	0.39	0.34	0.12	0.8	0.29	0.27	0.26	0.25	0.38	0.5	0.34	0.33	0.18	0.57	0.27	0.12	0.29	0.0	0.0	0.0
76	Munster Cheese	0.34	0.18	0.27	0.07	0.26	0.1	0.04	0.2	0.29	0.39	0.32	0.11	0.6	0.24	0.24	0.25	0.2	0.38	0.5	0.33	0.33	0.18	0.57	0.24	0.12	0.29	0.0	0.0	0.0
77	Other Cheeses	0.38	0.24	0.27	0.07	0.26	0.11	0.04	0.21	0.35	0.52	0.35	0.11	0.6	0.27	0.29	0.25	0.27	0.46	0.56	0.36	0.33	0.18	0.57	0.26	0.12	0.29	0.0	0.0	0.0
78	Parmesan Cheese	0.48	0.26	0.31	0.23	0.26	0.18	0.12	0.28	0.54	0.68	0.43	0.15	0.6	0.34	0.38	0.26	0.31	0.55	0.56	0.46	0.5	0.29	0.64	0.29	0.24	0.4	0.0	0.06	0.0
79	Provolone Cheese	0.37	0.24	0.29	0.1	0.26	0.1	0.04	0.2	0.34	0.48	0.34	0.11	0.6	0.24	0.28	0.25	0.23	0.42	0.56	0.33	0.33	0.18	0.79	0.24	0.18	0.29	0.0	0.0	0.0
80	Romano Cheese	0.36	0.21	0.27	0.1	0.26	0.11	0.04	0.21	0.32	0.52	0.33	0.11	0.6	0.24	0.25	0.25	0.2	0.38	0.5	0.33	0.33	0.18	0.64	0.24	0.18	0.29	0.0	0.0	0.0
81	Roquefort Cheese	0.34	0.18	0.27	0.07	0.26	0.1	0.04	0.2	0.29	0.39	0.32	0.11	0.6	0.24	0.24	0.25	0.2	0.38	0.5	0.33	0.33	0.18	0.57	0.24	0.12	0.29	0.0	0.0	0.0
82	Russian Cheese	0.37	0.24	0.31	0.07	0.26	0.1	0.04	0.21	0.29	0.39	0.38	0.11	0.6	0.26	0.27	0.25	0.2	0.39	0.56	0.34	0.33	0.24	0.64	0.26	0.12	0.36	0.0	0.0	0.0
83	Sheep Cheese	0.34	0.21	0.27	0.07	0.26	0.1	0.04	0.2	0.3	0.42	0.33	0.11	0.6	0.24	0.24	0.25	0.2	0.38	0.5	0.33	0.33	0.18	0.57	0.24	0.12	0.29	0.0	0.0	0.0
84	Swiss Cheese	0.43	0.21	0.37	0.14	0.44	0.19	0.06	0.3	0.37	0.55	0.35	0.19	0.6	0.27	0.34	0.25	0.26	0.44	0.56	0.49	0.33	0.29	0.64	0.25	0.12	0.36	0.0	0.0	0.0
85	Tilsit Cheese	0.35	0.21	0.27	0.07	0.26	0.1	0.04	0.2	0.29	0.39	0.32	0.11	0.6	0.24	0.24	0.25	0.2	0.38	0.5	0.33	0.33	0.18	0.57	0.24	0.12	0.29	0.0	0.0	0.0
86	Dairy Products	0.02	0.0	0.19	0.03	0.26	0.0	0.04	0.2	0.01	0.03	0.0	0.11	0.0	0.0	0.02	0.25	0.0	0.38	0.5	0.01	0.33	0.18	0.57	0.24	0.12	0.29	0.0	0.0	0.0
87	Ghee	0.0	0.0	0.19	0.03	0.26	0.0	0.04	0.2	0.0	0.03	0.0	0.11	0.0	0.0	0.02	0.25	0.01	0.0	0.5	0.01	0.33	0.18	0.57	0.24	0.12	0.29	0.0	0.0	0.0
88	Milk	0.37	0.18	0.1	0.13	0.3	0.07	0.08	0.18	0.28	0.55	0.28	0.1	0.6	0.26	0.28	0.21	0.22	0.26	0.22	0.29	0.25	0.12	0.71	0.3	0.15	0.31	0.09	0.0	0.0
89	Milk Fat	0.08	0.18	0.1	0.01	0.04	0.07	0.02	0.07	0.03	0.16	0.06	0.1	0.0	0.02	0.06	0.04	0.01	0.07	0.11	0.07	0.08	0.12	0.14	0.04	0.15	0.11	0.09	0.0	0.0
90	Goat Milk	0.02	0.0	0.1	0.01	0.04	0.07	0.02	0.07	0.0	0.16	0.0	0.1	0.0	0.01	0.0	0.04	0.0	0.07	0.11	0.07	0.08	0.12	0.14	0.0	0.15	0.11	0.09	0.0	0.0
91	Milk Powder	0.09	0.0	0.1	0.0	0.04	0.03	0.0	0.0	0.05	0.16	0.08	0.0	0.0	0.1	0.01	0.04	0.03	0.06	0.11	0.04	0.08	0.12	0.07	0.02	0.03	0.02	0.09	0.0	0.0
92	Sheep Milk	0.01	0.0	0.1	0.0	0.04	0.03	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.01	0.0	0.04	0.0	0.06	0.11	0.04	0.08	0.12	0.07	0.0	0.03	0.02	0.09	0.0	0.0
93	Skimmed Milk	0.01	0.0	0.1	0.0	0.04	0.0	0.0	0.0	0.0	0.16	0.0	0.0	0.0	0.01	0.0	0.0	0.0	0.06	0.11	0.0	0.08	0.12	0.07	0.0	0.03	0.02	0.09	0.0	0.0
94	Yogurt	0.09	0.0	0.08	0.0	0.04	0.03	0.0	0.13	0.06	0.23	0.1	0.0	0.2	0.05	0.08	0.06	0.0	0.01	0.06	0.11	0.08	0.12	0.36	0.03	0.03	0.13	0.09	0.0	0.0
95	Achilleas	0.0	0.0	0.08	0.0	0.04	0.03	0.0	0.0	0.06	0.23	0.0	0.0	0.2	0.05	0.0	0.06	0.0	0.01	0.06	0.11	0.08	0.12	0.36	0.03	0.03	0.13	0.09	0.0	0.0
96	Arar	0.03	0.0	0.0	0.04	0.04	0.04	0.06	0.03	0.01	0.23	0.02	0.0	0.2	0.0	0.01	0.06	0.01	0.01	0.06	0.11	0.08	0.12	0.0	0.04	0.03	0.0	0.09	0.0	0.0
97	Buchu	0.04	0.0	0.0	0.27	0.04	0.1	0.0	0.03	0.03	0.23	0.02	0.0	0.2	0.02	0.05	0.0	0.02	0.01	0.06	0.03	0.08	0.12	0.0	0.07	0.0	0.04	0.09	0.0	0.0
