		Uncategorised	Meaty	 Nutty	Medicinal	Chocolate	Wood	Spice	Herbaceous	 Berry	Dairy	Green	Roasted	Petrol	Floral	Caramel	Sulphur	 Tree fruit	Tropical	Marine	Earthy	Fruit like	Melon	Sour	 Citrus	Phenol	Pungent	Toasted	Smoke	Savory
434	Mulberry	0.24	0.05	0.23	0.16	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.18	0.22	0.09	0.0	0.0
435	Black mulberry	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.1	0.1	0.0	0.22	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.13	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.0	0.0
436	Evening primrose	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.0	0.0
437	Millet	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.0	0.0
438	Scarlet bean	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.0	0.0
439	Pistachio	0.25	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.0	0.0
440	Purslane	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.0	0.0
441	Red raspberry	0.3	0.11	0.27	0.17	0.15	0.09	0.24	0.11	0.15	0.26	0.23	0.04	0.0	0.29	0.31	0.09	0.12	0.08	0.22	0.14	0.0	0.06	0.29	0.16	0.26	0.27	0.09	0.06	0.0
442	Black raspberry	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
443	Sorrel	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
444	Summer savory	0.31	0.03	0.25	0.27	0.15	0.37	0.41	0.26	0.1	0.0	0.25	0.04	0.4	0.28	0.31	0.07	0.12	0.07	0.17	0.17	0.0	0.12	0.21	0.34	0.18	0.29	0.09	0.06	0.0
445	Winter savory	0.35	0.05	0.23	0.3	0.19	0.52	0.49	0.36	0.11	0.0	0.31	0.05	0.4	0.36	0.34	0.07	0.15	0.1	0.22	0.2	0.0	0.06	0.21	0.44	0.18	0.29	0.09	0.06	0.0
446	Cherry tomato	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
447	Rowanberry	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
448	Sorghum	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.29	0.15	0.12	0.22	0.09	0.06	0.0
449	Dandelion	0.25	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.1	0.2	0.04	0.0	0.25	0.25	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
450	Linden	0.27	0.03	0.23	0.16	0.15	0.14	0.18	0.1	0.11	0.0	0.22	0.04	0.0	0.34	0.28	0.07	0.12	0.06	0.17	0.13	0.0	0.06	0.21	0.27	0.12	0.22	0.09	0.06	0.0
451	Small leaf linden	0.23	0.03	0.23	0.14	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.26	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
452	Wheat	0.28	0.03	0.23	0.16	0.15	0.07	0.16	0.1	0.11	0.1	0.24	0.05	0.0	0.32	0.27	0.09	0.12	0.07	0.28	0.14	0.0	0.06	0.36	0.25	0.12	0.22	0.09	0.06	0.0
453	Sparkleberry	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
454	Common verbena	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
455	Adzuki bean	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
456	Gram bean	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
457	Mung bean	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.25	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
458	Climbing bean	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
459	Muscadine grape	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
460	Bayberry	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
461	Elliott's blueberry	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
462	Canada blueberry	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
463	Buffalo currant	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
464	Deerberry	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
465	Ginseng	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
466	Longan	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
467	Pepper C. baccatum	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
468	Pepper C. chinense	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
469	Rambutan	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
470	Red rice	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
471	Annual wild rice	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
472	Welsh onion	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
473	Hard wheat	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.06	0.2	0.04	0.0	0.25	0.25	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
474	Triticale	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
475	Komatsuna	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
476	Pak choy	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
477	Jostaberry	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
478	Kai lan	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
480	Pineappple sage	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
481	Skunk currant	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
482	Breakfast cereal	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
484	Pasta	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
485	Biscuit	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
486	Sourdough	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
487	Spirit	0.02	0.03	0.23	0.13	0.0	0.0	0.16	0.08	0.1	0.06	0.0	0.04	0.0	0.25	0.01	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.07	0.15	0.0	0.22	0.09	0.06	0.0
488	Beverage alcolohic other	0.0	0.03	0.23	0.13	0.0	0.0	0.16	0.08	0.1	0.06	0.0	0.04	0.0	0.25	0.01	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.07	0.15	0.0	0.22	0.09	0.06	0.0
489	Abalone	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
490	Abiyuch	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
491	Acerola	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
492	Acorn	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
493	Winter squash	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
494	Agar	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
495	Red king crab	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
496	Alfalfa	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
497	Amaranth	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.29	0.15	0.12	0.22	0.09	0.06	0.0
498	Arrowhead	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
499	Arrowroot	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.06	0.2	0.04	0.0	0.25	0.25	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
500	Atlantic herring	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
501	Atlantic mackerel	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
502	Painted comber	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
503	Atlantic pollock	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
504	Atlantic wolffish	0.01	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.07	0.15	0.12	0.22	0.09	0.06	0.0
505	Bamboo shoots	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
506	Striped bass	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
507	Beaver	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
508	Beech nut	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
509	Beluga whale	0.01	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
510	Bison	0.01	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
511	Black bear	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
512	Alaska blackfish	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
513	Northern bluefin tuna	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
514	Bluefish	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
515	Wild boar	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
516	Bowhead whale	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
517	Breadfruit	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
518	Breadnut tree seed	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
519	Rapini	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.29	0.15	0.12	0.22	0.09	0.06	0.0
520	Brown bear	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.29	0.15	0.12	0.22	0.09	0.06	0.0
521	Buffalo	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
522	Burbot	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.36	0.15	0.12	0.22	0.09	0.06	0.0
523	Giant butterbur	0.23	0.03	0.23	0.13	0.15	0.05	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.24	0.09	0.06	0.0
524	American butterfish	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
525	Butternut	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
526	Butternut squash	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
527	Cardoon	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
528	Caribou	0.01	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
529	Natal plum	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
530	Carob	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.11	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
531	Common carp	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.11	0.03	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
532	Channel catfish	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.11	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.0	0.15	0.12	0.22	0.09	0.06	0.0
533	Chia	0.24	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.03	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.29	0.15	0.12	0.22	0.09	0.06	0.0
534	Chinese chestnut	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
535	Garland chrysanthemum	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
536	Cisco	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
537	Nuttall cockle	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
538	Common octopus	0.01	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.07	0.15	0.12	0.22	0.09	0.06	0.0
539	Corn salad	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
540	Cottonseed	0.27	0.03	0.23	0.17	0.15	0.18	0.24	0.2	0.1	0.03	0.22	0.04	0.0	0.26	0.27	0.07	0.12	0.07	0.17	0.13	0.0	0.06	0.36	0.19	0.12	0.27	0.09	0.06	0.0
541	Catjang pea	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
542	Squashberry	0.23	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.2	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
543	Atlantic croaker	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
544	Cusk	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
545	Cuttlefish	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
546	Mule deer	0.0	0.03	0.23	0.13	0.15	0.04	0.16	0.08	0.1	0.0	0.0	0.04	0.0	0.25	0.24	0.07	0.12	0.06	0.17	0.11	0.0	0.06	0.21	0.15	0.12	0.22	0.09	0.06	0.0
